iter	Passed	Remaining
0	1	123
1	2	121
2	3	118
3	4	108
4	5	105
5	6	105
6	7	105
7	9	104
8	11	112
9	13	119
10	15	123
11	17	126
12	18	125
13	19	120
14	20	116
15	21	113
16	22	111
17	23	108
18	24	105
19	25	102
20	26	99
21	27	96
22	28	96
23	30	95
24	31	95
25	33	95
26	35	95
27	36	94
28	38	94
29	40	94
30	42	94
31	44	94
32	46	94
33	48	93
34	48	90
35	49	88
36	50	85
37	51	83
38	52	81
39	53	79
40	53	77
41	54	75
42	55	73
43	56	71
44	57	70
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	62
51	65	60
52	66	58
53	67	57
54	67	55
55	68	53
56	69	52
57	70	50
58	71	49
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	39
66	77	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	86	24
78	87	23
79	88	22
80	89	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	104	0
